Nombre,Rock,Urbano,Latino,R&B,Pop,Instrumental,Electrónica,Duración,Animadas,Alegres,Letra,Conocidas
Am I A Girl? - Poppy,4,1,1,1,6,1,1,1,5,4,6,2
Ana Mile - Grupo Niche,5,4,5,4,5,5,4,5,5,3,4,3
Anhelando iruya - perota chingó ,1,1,1,5,4,5,1,4,2,1,6,3
April - mol-74,1,1,1,4,5,1,1,3,3,2,6,3
As it was - Harry Styles,3,6,6,3,4,4,4,3,6,6,6,6
ASAP - STAYC,1,2,1,1,6,2,1,1,4,5,5,5
Best of you- foofighters ,5,5,5,5,5,6,4,5,5,5,5,5
Bichiyal - Bad Bunny ,3,6,6,3,4,3,4,3,6,6,6,6
Black Mirror - ONEUS,1,3,1,3,6,1,2,2,6,6,6,4
Break My Heart - Dua Lipa,1,2,1,2,6,2,2,4,5,6,6,6
Butter - BTS,3,2,1,3,6,1,4,2,5,6,6,6
California Gurls - Katy Perry,1,3,1,1,6,1,1,2,6,6,4,6
Can't Stop - Red Hot Chili Peppers,6,1,1,4,1,2,1,3,6,6,5,5
Candy - Rosalía,1,6,3,1,1,3,1,2,3,3,5,6
Canon - Johann Pachelbel,1,1,1,1,1,6,1,3,1,4,1,4
Ceremony - Awesome City Club,1,1,1,6,6,2,1,3,1,4,6,3
Closer - The chainsmoker,1,1,1,1,4,1,4,4,4,4,3,4
Como un bebé - J balvin,3,6,6,3,4,3,4,3,6,6,6,6
Control Z - Kaliza,2,3,1,2,3,2,5,2,2,2,4,1
Creo en Ti - Reik,1,1,2,2,6,2,1,3,2,3,6,5
Cry Me a River - akiko,1,1,1,6,1,4,1,3,3,2,6,3
Cuenta Regresiva - Gilberto Santa Rosa,1,3,6,3,1,2,1,3,3,2,5,4
Daechwita - Agust D,3,6,1,1,3,1,3,3,5,3,6,6
Dang! - Mac Miller ft. Anderson .Paak ,1,6,1,6,1,1,2,3,2,3,5,4
Latch-Disclosure,1,1,1,2,1,1,6,3,4,6,3,3
Don't stop the music - Rihanna,1,1,1,1,6,1,2,3,6,6,4,6
Dragostea Din Tei - O zone ,5,4,6,4,6,6,3,5,5,5,5,5
Duality - Slipknot,6,1,1,1,1,2,2,3,6,3,6,5
Es por ti - Juanes,5,1,5,2,1,1,1,3,3,2,5,4
Florida Kilos - Lana del Rey,4,5,5,3,5,5,4,2,4,3,4,3
Florida Kilos - Lana del Rey,5,1,1,2,2,3,1,3,2,3,5,4
Fly Me To The Moon - Frank Sinatra,1,1,1,6,3,2,1,1,3,5,6,4
Freak (怪咖) - Joker Xue,2,1,1,1,6,2,1,2,1,1,6,1
